hashtags,user_favorites
Texas,28465
Texas,1528
StumpARepublican,152305
TexasStrong,32204
Texas,408039
texaspowerfail,79453
AustinPowerOutage,152309
TexasPowerGrid,152309
Retweet,6289
foxnews,6289
BreakingNews,6289
RealityWinner,161168
TEXAS,14920
TWUG,14920
Fraud,125297
texaspowerfail,104648
Cancun,244416
Texas,21174
Texas,21174
TexasWinterStorm2021,100587
TexasFreeze,6348
txlege,26167
Texas,153919
time,11487
RT,11487
BreakingNews,11487
Fraud,301439
TexasFreeze,50762
texaspowerfail,318952
Texas,407605
ResignAbbott,8079
ResignTedCruz,8079
Texas,90632
SmartNews,2976
Texas,22825
RealityWinner,201068
TexasStrong,6117
AustinWater,7435
TexasBlackout,7435
texas,8469
Texas,138289
texaspowerfail,6902
TexasFreeze,5993
Texas,195243
Texas,486454
texaspowerfail,289740
TexasBlackout,573745
Texas,203829
StumpARepublican,138296
Texas,24011
texaspowerfail,26399
Cancun,258568
txlege,203838
txlege,170167
Texas,54203
Texas,49391
Texas,65912
TexasStrong,13476
Texas,197
SmartNews,83867
Texas,38382
AustinWater,54373
TexasBlackout,54373
Texas,38382
txlege,6379
Cancun,407635
GoldmanSachs,407635
TexasBlackout,156780
RealityWinner,161193
TEXAS,347831
TWUG,347831
fakesnow,2202
Fraud,372471
Texas,50
Texas,29531
Texas,328622
Texas,31124
Cancun,31124
Texas,181477
FightCancer,94914
TEXAS,55372
TWUG,55372
Texas,31124
Cancun,31124
TexasFreeze,311683
"Cancun,Texas",62184
RealityWinner,101897
TexasStrong,150108
Texas,79622
TexasWinterStorm2021,713084
TexasBlackout,25968
TexasStrong,52175
TexasStrong,1764
Texas,76677
TexasWinterStorm2021,335968
TexasWinterStorm2021,229900
Texas,10839
HookEm,10839
HookEm,10839
BringRealityHome,130121
FreeRealityWinner,130121
Texas,251615
Cancun,251615
Texas,140323
"HookEm,HookEm,Texas",1307
Texas,200
TexasWinterStorm2021,73372
TexasWinterStorm2021,25973
Texas,253603
Texas,206803
Texas,47051
TexasStrong,216339
TexasWinterStorm2021,33
RealityWinner,31916
TexasBlackout,582681
TexasStrong,226532
TheMandalorian,3581
TedCruz,3581
TedCancunCruz,3581
TedFled,3581
TedCruzFailedTexas,3581
texas,3581
starwars,3581
ampFW,6203
ReopenAmerica,6203
TexasBlackout,407703
StumpARepublican,454011
texaspowerfail,69973
Texas,81234
TexasWinterStorm,7891
TexasStrong,58313
Texas,124737
Texas,49888
Texas,160950
txlege,56796
TexasStrong,37062
Texas,12808
TexasStrong,174224
TEXAS,372072
TWUG,372072
Texas,679057
texas,79516
Texas,41704
txlege,156878
Texas,81234
Texas,28756
TexasWinterStorm,1068
TexasWinterStorm2021,30262
Fraud,5521
TexasWinterStorm,1068
Texas,150484
Texas,81234
texas,55877
HookEm,765
Texas,765
HookEm,765
TexasStrong,33638
Texas,229656
Texas,16469
HookEm,16469
HookEm,16469
TexasStrong,994
Texas,270719
TexasStrong,63551
TexasBlackout,3533
Texas,3533
TexasStrong,19782
TexasStrong,252937
TexasStrong,30533
TexasStrong,32038
TexasStrong,140371
TexasBlackout,7991
Texas,7991
TexasStrong,6731
TexasWeather,136803
TexasStrong,126170
TexasStrong,57451
TexasStrong,17868
TexasStrong,345479
TexasFreeze,8754
TexasStrong,367696
"TexasFreeze,",36993
GOPCowards,36993
GOP,36993
BREAKING,137943
TexasStrong,25212
TexasStrong,123265
RodneyReed,22991
TexasWeather,52814
TexasStrong,32274
TexasStrong,60931
TexasStrong,39372
TexasStrong,233586
TexasStrong,135623
TexasBlackout,94258
Texas,94258
TexasStrong,4616
TexasStrong,88239
TexasStrong,54558
TexasWinterStorm2021,285052
TexasStrong,58886
TexasStrong,35914
TexasStrong,297078
TexasStrong,59998
TexasStrong,53187
TexasFreeze,8622
TexasFreeze,95200
GOP,95200
GOPCowards,95200
TexasStrong,68820
TexasStrong,202729
TexasPowerOutages,202729
TexasStrong,771
TexasStrong,489673
TexasStrong,20445
TexasPowerOutages,71900
TexasStrong,71900
Texas,252399
TexasFreeze,67709
txwx,9438
TexasStrong,542212
