timestamp,newstext,link
2021-02-17 21:40:00.000,Mexico presses U.S. to guarantee natural gas supplies after Texas export ban,https://www.reuters.com/business/energy/mexico-presses-us-guarantee-natural-gas-supplies-after-texas-export-ban-2021-02-18/
2021-02-18 00:05:00.000,Thousands of 'cold-stunned' sea turtles rescued off coast of Texas,https://www.reuters.com/business/environment/thousands-cold-stunned-sea-turtles-rescued-off-coast-texas-2021-02-18/
2021-02-18 00:13:00.000,Texas power consumers to pay the price of winter storm,https://www.reuters.com/business/energy/texas-power-consumers-pay-price-winter-storm-2021-02-18/
2021-02-18 01:35:00.000,"Texas energy freeze stretches to sixth day, raises Mexico's ire",https://www.reuters.com/business/energy/texas-energy-freeze-stretches-sixth-day-raises-mexicos-ire-2021-02-18/
2021-02-18 04:04:00.000,Power restored to most in Texas after ‘tragic few days’,https://www.reuters.com/world/us/power-restored-most-texas-after-tragic-few-days-2021-02-19/
2021-02-18 06:04:00.000,Texas ranchers scramble to keep animals alive in unusual cold,https://www.reuters.com/business/environment/texas-ranchers-scramble-keep-animals-alive-unusual-cold-2021-02-18/
2021-02-18 08:41:00.000,"Texas energy crisis extends to sixth day, spills over to Mexico",https://www.reuters.com/business/energy/texas-energy-crisis-extends-sixth-day-spills-over-mexico-2021-02-18/
2021-02-18 08:45:00.000,"After blizzard of criticism over Mexico trip, Senator Ted Cruz flies back to frozen Texas",https://www.reuters.com/world/us/after-blizzard-criticism-over-mexico-trip-senator-ted-cruz-flies-back-frozen-2021-02-18/
2021-02-18 09:49:00.000,"WIDER IMAGE 'I just ask God to help me': Texas funeral home crushed by death as U.S. COVID toll tops 500,000",https://www.reuters.com/world/us/wider-image-i-just-ask-god-help-me-texas-funeral-home-crushed-by-death-us-covid-2021-02-18/
2021-02-18 11:00:00.000,"U.S. House committee will examine events in Texas after winter storm, outages -Pelosi",https://www.reuters.com/business/environment/us-house-committee-will-examine-events-texas-after-winter-storm-outages-pelosi-2021-02-18/
2021-02-18 11:30:00.000,Texas storms affecting COVID vaccine distribution -Fauci,https://www.reuters.com/business/healthcare-pharmaceuticals/texas-storms-affecting-covid-vaccine-distribution-fauci-2021-02-18/
2021-02-18 11:33:00.000,Texas mandate to bar natural gas exports during power crisis likely unenforceable -official,https://www.reuters.com/business/energy/texas-mandate-bar-natural-gas-exports-during-power-crisis-likely-unenforceable-2021-02-18/
2021-02-18 12:25:00.000,Automakers pause North American production on U.S. winter weather,https://www.reuters.com/business/autos-transportation/automakers-pause-north-american-production-us-winter-weather-2021-02-18/
2021-02-18 12:37:00.000,White House says Texas winter storm likely due to climate change,https://www.reuters.com/business/environment/white-house-says-texas-winter-storm-likely-due-climate-change-2021-02-18/
2021-02-18 12:53:00.000,"As Texas freezes, U.N. chief says 'complete ignorance' to reject climate change",https://www.reuters.com/business/environment/texas-freezes-un-chief-says-complete-ignorance-reject-climate-change-2021-02-18/
2021-02-18 13:04:00.000,TC Energy declares force majeure on oil deliveries in Texas on Marketlink pipeline,https://www.reuters.com/business/energy/tc-energy-declares-force-majeure-oil-deliveries-texas-marketlink-pipeline-2021-02-18/
2021-02-18 14:04:00.000,U.S. Senate energy panel intends hearing on power grid in wake of Texas freeze,https://www.reuters.com/business/energy/us-senate-energy-panel-intends-hearing-power-grid-wake-texas-freeze-2021-02-18/
2021-02-18 15:48:00.000,Texas governor asks legislature to mandate winterization of generators,https://www.reuters.com/world/us/texas-governor-asks-legislature-mandate-winterization-generators-2021-02-18/
2021-02-18 16:41:00.000,RWE warns of profit hit as Texas winter storm disrupts wind farms,https://www.reuters.com/business/energy/rwe-warns-profit-texas-freeze-halts-wind-farms-2021-02-18/
2021-02-18 16:47:00.000,U.S. insurers brace for hefty claims from Texas storm once thaw sets in,https://www.reuters.com/business/us-insurers-brace-hefty-claims-texas-storm-once-thaw-sets-2021-02-18/
2021-02-18 20:06:00.000,Oil extends losses as Texas prepares to ramp up output after freeze,https://www.reuters.com/business/energy/oil-extends-losses-texas-prepares-ramp-up-output-after-freeze-2021-02-19/
2021-02-18 20:31:00.000,'Switch off lightbulbs:' president asks Mexicans to ration power as Texas limits fuel,https://www.reuters.com/business/energy/switch-off-lightbulbs-president-asks-mexicans-ration-power-texas-limits-fuel-2021-02-19/
2021-02-19 04:06:00.000,"As power returns, Texas energy firms slowly emerge from deep freeze",https://www.reuters.com/business/energy/power-returns-texas-energy-firms-slowly-emerge-deep-freeze-2021-02-19/
2021-02-19 04:11:00.000,"‘Fragile’ Texas energy grid comes back to life, steep challenges remain",https://www.reuters.com/business/environment/fragile-texas-energy-grid-comes-back-life-steep-challenges-remain-2021-02-19/
2021-02-19 05:12:00.000,"Texas weather crisis deepens Chinese belief they're 'on right path', says foreign ministry",https://www.reuters.com/world/china/texas-weather-crisis-deepens-chinese-belief-theyre-on-right-path-says-foreign-2021-02-19/
2021-02-19 05:49:00.000,Traders rush to supply fuel to the U.S. as Texas freeze bites,https://www.reuters.com/business/energy/traders-rush-supply-fuel-us-texas-freeze-bites-2021-02-19/
2021-02-19 09:21:00.000,"Factbox: Over 157,000 in Texas still without power from winter storm",https://www.reuters.com/business/environment/over-157000-texas-still-without-power-winter-storm-2021-02-19/
2021-02-19 12:24:00.000,U.S. drillers cut oil rigs for first week in 13 amid deep freeze - Baker Hughes,https://www.reuters.com/business/energy/us-drillers-cut-oil-rigs-first-week-13-amid-deep-freeze-baker-hughes-2021-02-19/
2021-02-19 12:45:00.000,(OFFICIAL) Citigroup lets Texas staff shelter in offices from cold snap,https://www.reuters.com/business/citigroup-lets-texas-staff-shelter-offices-cold-snap-2021-02-19/
2021-02-19 13:46:00.000,"Texas oil refiners will take weeks to recover, boosting U.S. gasoline prices",https://www.reuters.com/business/energy/texas-oil-refiners-will-take-weeks-recover-boosting-us-gasoline-prices-2021-02-19/
2021-02-19 14:59:00.000,Texas faces at least $300 million in citrus losses to storm,https://www.reuters.com/business/environment/texas-loses-least-300-million-citrus-crops-storm-2021-02-19/
2021-02-19 17:38:00.000,Algonquin sees up to $55 mln hit as Texas freeze hits wind farms,https://www.reuters.com/business/energy/algonquin-sees-up-55-mln-hit-texas-freeze-hits-wind-farms-2021-02-19/
2021-02-20 01:17:00.000,"Cold, lack of water overwhelm Texas hospitals more than COVID-19 did",https://www.reuters.com/business/healthcare-pharmaceuticals/cold-lack-water-overwhelm-texas-hospitals-more-than-covid-19-did-2021-02-20/
2021-02-20 01:20:00.000,"Biden plans Texas visit, pushes for speedy disaster funds in winter storm crisis",https://www.reuters.com/business/environment/biden-plans-texas-visit-pushes-speedy-disaster-funds-winter-storm-crisis-2021-02-19/
2021-02-20 02:45:00.000,Texas storm may cost insurers record first-quarter losses -A.M. Best,https://www.reuters.com/business/texas-storm-may-cost-insurers-record-first-quarter-losses-am-best-2021-02-20/
2021-02-20 02:52:00.000,"As power returns, Texas energy firms slowly emerge from deep freeze",https://www.reuters.com/business/energy/power-returns-texas-energy-firms-slowly-emerge-deep-freeze-2021-02-20/
2021-02-20 18:46:00.000,Why a predictable cold snap crippled the Texas power grid,https://www.reuters.com/business/energy/why-predictable-cold-snap-crippled-texas-power-grid-2021-02-21/
2021-02-20 20:55:00.000,Biden approves Texas disaster declaration after deadly freeze,https://www.reuters.com/business/environment/biden-approves-texas-disaster-declaration-after-deadly-freeze-2021-02-20/
2021-02-21 06:22:00.000,Texas freeze led to release of tons of air pollutants as refineries shut,https://www.reuters.com/business/environment/texas-freeze-led-release-tons-air-pollutants-refineries-shut-2021-02-21/
2021-02-21 12:38:00.000,Texas utilities can't stick customers with huge bills after storm -Abbott,https://www.reuters.com/world/us/texas-utilities-cant-stick-customers-with-huge-bills-after-storm-abbott-2021-02-21/
2021-02-21 15:42:00.000,"About 30,000 Texans still without power after winter storm",https://www.reuters.com/world/us/about-30000-texans-still-without-power-after-winter-storm-2021-02-21/
2021-02-21 17:55:00.000,"Texas to get one million COVID-19 vaccine doses in coming week, governor says",https://www.reuters.com/business/energy/texas-get-one-million-covid-19-vaccine-doses-coming-week-governor-says-2021-02-21/
2021-02-21 19:38:00.000,Oil gains as U.S. production slowly returns after freeze,https://www.reuters.com/world/middle-east-africa/oil-gains-us-production-slowly-returns-after-freeze-2021-02-22/
2021-02-21 20:43:00.000,"Exxon kicks off restart of refinery in Beaumont, Texas",https://www.reuters.com/business/energy/exxon-kicks-off-restart-refinery-beaumont-texas-2021-02-22/
2021-02-21 23:58:00.000,Oil jumps almost 4% as output slow to recover from Texas storms,https://www.reuters.com/business/energy/oil-jumps-almost-4-output-slow-recover-texas-storms-2021-02-22/
2021-02-22 01:18:00.000,Australia’s Macquarie reaps windfall profits from U.S. winter freeze,https://www.reuters.com/world/asia-pacific/australias-macquarie-reaps-windfall-profits-us-winter-freeze-2021-02-22/
2021-02-22 07:18:00.000,Column: Fund buying in oil stalls after prices top $60: Kemp,https://www.reuters.com/business/energy/fund-buying-oil-stalls-after-prices-top-60-kemp-2021-02-22/
2021-02-22 10:44:00.000,U.S. Supreme Court revives Texas inmate's lawsuit over pepper spray incident,https://www.reuters.com/world/us/us-supreme-court-revives-texas-inmates-lawsuit-over-pepper-spray-incident-2021-02-22/
2021-02-22 11:26:00.000,"Exxon attempting to restart Baytown, Texas, refinery -sources",https://www.reuters.com/business/energy/exxon-attempting-restart-baytown-texas-refinery-sources-2021-02-22/
2021-02-22 13:32:00.000,WRAPUP Texas refineries slowly restart after last week’s deep freeze,https://www.reuters.com/business/energy/wrapup-texas-refineries-slowly-restart-after-last-weeks-deep-freeze-2021-02-23/
2021-02-22 15:42:00.000,"Marathon Oil posts smaller loss on higher prices, cost cuts",https://www.reuters.com/business/energy/marathon-oil-posts-smaller-loss-higher-prices-cost-cuts-2021-02-22/
2021-02-22 15:47:00.000,U.S. shale producers reveal extent of hit from Texas freeze,https://www.reuters.com/business/energy/us-shale-producers-reveal-extent-hit-texas-freeze-2021-02-22/
2021-02-22 16:38:00.000,"Total Port Arthur, Texas, refinery raising steam production, faces repairs -sources",https://www.reuters.com/business/energy/total-port-arthur-texas-refinery-raising-steam-production-faces-repairs-sources-2021-02-22/
