FID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,SHAPE_Length,SHAPE_Area
181,216,139,Lamar,Paris,139,48277,139,1,N,N,N,2.71647071473904,0.235193783769116
182,217,194,Red River,Paris,194,48387,194,1,N,N,N,3.52813333328637,0.266174236332679
183,218,39,Clay,Wichita Falls,39,48077,39,3,Y,Y,Y,2.38209540501595,0.279980166127101
184,219,243,Wichita,Wichita Falls,243,48485,243,3,Y,Y,Y,1.8331773700488,0.156295200596571
185,220,78,Foard,Childress,78,48155,79,25,N,N,N,2.30271173140565,0.177999148512234
186,221,51,Cottle,Childress,51,48101,51,25,N,N,N,2.02126038980394,0.228012424550234
187,222,173,Motley,Childress,173,48345,173,25,N,N,N,2.00371721557245,0.250394167531895
188,223,77,Floyd,Lubbock,77,48153,78,5,N,N,N,2.0068946124229,0.251107369593695
189,224,95,Hale,Lubbock,95,48189,96,5,N,N,N,2.01835826501623,0.254141686576041
190,178,199,Rockwall,Dallas,199,48397,199,18,Y,Y,Y,0.777033988578955,0.037090174895785
191,179,190,Rains,Paris,190,48379,190,1,N,N,N,1.33604467632186,0.0644297443719092
192,180,250,Wood,Tyler,250,48499,250,10,N,N,N,2.18160161067978,0.173379867425507
193,181,32,Camp,Atlanta,32,48063,32,19,N,N,N,1.42638404100639,0.0507991557855514
194,182,217,Stonewall,Abilene,217,48433,217,8,N,N,N,1.94359541973119,0.232001068691366
195,183,104,Haskell,Abilene,104,48207,105,8,N,N,N,1.91739095591401,0.227925262117152
196,184,132,Kent,Abilene,132,48263,132,8,N,N,N,1.89953893407078,0.223632390784565
197,185,224,Throckmorton,Wichita Falls,224,48447,224,3,N,N,N,1.92184490285183,0.229200399002043
198,186,85,Garza,Lubbock,85,48169,86,5,N,N,N,1.89832313911802,0.224420637866505
199,187,153,Lynn,Lubbock,153,48305,153,5,N,N,Y,1.90023402007228,0.223592857123533
200,188,252,Young,Wichita Falls,252,48503,252,3,N,N,N,1.94165106537872,0.233021766385438
201,189,223,Terry,Lubbock,223,48445,223,5,N,N,N,1.89668772053815,0.22297788509718
202,190,251,Yoakum,Lubbock,251,48501,251,5,N,N,N,1.79157767497153,0.200359847815264
203,191,34,Cass,Atlanta,34,48067,34,19,N,N,N,2.72963094115476,0.240082558065208
204,192,43,Collin,Dallas,43,48085,43,18,Y,Y,Y,1.9312167645958,0.221921838908805
205,193,61,Denton,Dallas,61,48121,61,18,Y,Y,Y,1.96932440284573,0.23835953914431
206,194,249,Wise,Fort Worth,249,48497,249,2,Y,Y,Y,1.93265151676698,0.231119047585046
207,195,112,Hopkins,Paris,112,48223,113,1,N,N,N,2.29494143333942,0.198586746390042
208,196,172,Morris,Atlanta,172,48343,172,19,N,N,N,1.53869847366011,0.0644955119674162
209,197,116,Hunt,Paris,116,48231,117,1,Y,Y,Y,2.04572034893498,0.220775791115202
210,198,80,Franklin,Paris,80,48159,81,1,N,N,N,1.42205469766604,0.073838547608497
211,199,119,Jack,Fort Worth,119,48237,120,2,N,N,N,1.93422188407688,0.230607103362793
212,200,225,Titus,Atlanta,225,48449,225,19,N,N,N,2.00308107791878,0.10691441947755
213,201,60,Delta,Paris,60,48119,60,1,Y,Y,N,2.32114228525783,0.0697547616667509
214,202,19,Bowie,Atlanta,19,48037,19,19,Y,Y,Y,4.05705376785572,0.231733544171042
215,203,138,Knox,Childress,138,48275,138,25,N,N,N,2.13352912296058,0.215261988349645
216,204,135,King,Childress,135,48269,135,25,N,N,N,1.92829698064682,0.229953040580481
217,205,63,Dickens,Childress,63,48125,63,25,N,N,N,1.92069188021048,0.227699878764289
218,206,12,Baylor,Wichita Falls,12,48023,12,3,N,N,N,1.91245792047101,0.226681328706822
219,170,58,Dawson,Lubbock,58,48115,58,5,N,N,N,1.90370766199618,0.224777361448477
220,171,83,Gaines,Lubbock,83,48165,84,5,N,N,N,2.59041958828135,0.374514866542119
221,172,230,Upshur,Atlanta,230,48459,230,19,Y,Y,Y,1.79982327225165,0.147655520628713
222,173,155,Marion,Atlanta,158,48315,155,19,N,N,N,2.03368600438948,0.104798970686794
223,174,182,Palo Pinto,Fort Worth,182,48363,182,2,N,N,N,2.01489695058199,0.245592253333451
224,175,184,Parker,Fort Worth,184,48367,184,2,Y,Y,Y,1.91049081462186,0.225917425717781
225,238,191,Randall,Amarillo,191,48381,191,4,Y,Y,Y,1.95736522919354,0.235811564373686
226,239,59,Deaf Smith,Amarillo,59,48117,59,4,N,N,N,2.62224617435931,0.382874942535471
227,240,242,Wheeler,Childress,242,48483,242,25,N,N,N,1.95125205505299,0.235165913817228
228,241,90,Gray,Amarillo,90,48179,91,4,N,N,N,1.96833268317082,0.238979411170009
229,242,33,Carson,Amarillo,33,48065,33,4,Y,Y,Y,1.95761139040279,0.237516649595125
230,243,188,Potter,Amarillo,188,48375,188,4,Y,Y,Y,1.95892017054727,0.236917402816426
231,244,180,Oldham,Amarillo,180,48359,180,4,N,N,Y,2.63866437570127,0.385883124698741
232,245,106,Hemphill,Amarillo,106,48211,107,4,N,N,N,1.95245467766932,0.235628982632968
233,246,197,Roberts,Amarillo,197,48393,197,4,N,N,N,1.96500226813975,0.238522573039428
234,247,117,Hutchinson,Amarillo,117,48233,118,4,N,N,N,1.93562611030691,0.231227201257912
235,225,140,Lamb,Lubbock,140,48279,140,5,N,N,N,2.03117533980129,0.257464755060991
236,226,9,Bailey,Lubbock,9,48017,9,5,N,N,N,1.83628309345486,0.209332577190405
237,227,244,Wilbarger,Wichita Falls,244,48487,244,3,N,N,N,2.49932718929811,0.247248712635451
238,228,99,Hardeman,Childress,99,48197,100,25,N,N,N,1.90472943678756,0.176644163868269
239,229,38,Childress,Childress,38,48075,38,25,N,N,N,1.70857444540249,0.181527865768357
240,230,96,Hall,Childress,96,48191,97,25,N,N,N,1.9271485134005,0.229964489915002
241,231,23,Briscoe,Childress,23,48045,23,25,N,N,N,1.92390559809579,0.229466116398576
242,232,219,Swisher,Lubbock,219,48437,219,5,N,N,N,1.92457742933068,0.229375664663403
243,233,35,Castro,Lubbock,35,48069,35,5,N,N,N,1.9239211805809,0.228709438190346
244,234,185,Parmer,Lubbock,185,48369,185,5,N,N,N,1.90504538106632,0.22511909915933
245,235,44,Collingsworth,Childress,44,48087,44,25,N,N,N,1.94963207074564,0.234984183121864
246,236,65,Donley,Childress,65,48129,65,25,N,N,N,1.96638225265877,0.238522225390072
247,237,6,Armstrong,Amarillo,6,48011,6,4,Y,Y,Y,1.94568997024616,0.233110028751233
248,250,148,Lipscomb,Amarillo,148,48295,148,4,N,N,N,1.97980596337273,0.242396190524935
249,251,179,Ochiltree,Amarillo,179,48357,179,4,N,N,N,1.96732169250461,0.23882657896917
250,252,98,Hansford,Amarillo,98,48195,99,4,N,N,N,1.96553904074286,0.239189399445609
251,253,211,Sherman,Amarillo,211,48421,211,4,N,N,N,1.96799175319635,0.239757131572332
252,254,56,Dallam,Amarillo,56,48111,56,4,N,N,N,2.64774939880016,0.391035065442232
253,248,171,Moore,Amarillo,171,48341,171,4,N,N,N,1.94986775104294,0.234984170822113
254,249,103,Hartley,Amarillo,103,48205,104,4,N,N,N,2.61721399595689,0.377985129848927
